Title,When,Description,"tasks (row number of the `Tasks` spreadsheet, separate by comma)",Image file name,tasks,,,,,,,,,,,,,,,,,,Title (required),Title (required)
Get Prepared,Before Wedding Day,Prepare yourself mentally and work with your partner to decide how to make your dreams happen.,"2,3,4,5,6,7,8,9,10,54,64,66,11,12",s01_get_prepared.jpg,Create an email folder,Pick the date & city,Choose wedding party,Choose wedding planners ,Decide on a budget.,Decide on wedding colors/theme,Get marriage license.,,,,,,,,,,,,Create an email folder,Create an email folder
,,,,,Make a day-of timeline & delegation,Take engagement photos,Insure your ring,Plan the rehearsal dinner,Have your rehearsal,,,,,,,,,,,,,,Pick the date & city - 1,Pick the date & city I
Invite Guests,Before Wedding Day,Make an easy and delightful day for your guests. ,"34,35,36,37,38,39,63,40,41,42,43,44,45,47,48,49,50,67",s02_invite_guests.jpg,Annouce your wedding,Plan engagement party,Plan shower/bachelorette party,Have bachelor & bachelorette parties,Buy a guest book,Confirm guests,Work on seating,Order your invitations.,Mail your invites,Figure out transportation,,,,,,,,,Choose wedding party,Choose wedding party
,,,,,Make guest list,Start a wedding website ,Buy wedding party gifts,Save invitation photos.,Register for gifts.,Block out hotel rooms,Research stationery designers.,Order save-the-dates.,Send save-the-dates.,,,,,,,,,,Choose wedding planners - 1,Choose wedding planners I
Dress Up,On Wedding Day,Make yourself stunning. ,"19,21,22,23,24,25,26,27,29,30,31,32,33",s03_dress_up.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Surprise Him,On Wedding Day,Take a breathe. It's time to surprise your partner.,"53,55,56",s04_surprise_him.jpg,Save dress photos,Try on wedding dresses.,Make a beauty plan,Try on wedding dresses.,Save hairstyle photos,Buy your dresses,Buy or rent formalwear.,Book beauty stylists,Book photographer,Book videographers,,,,,,,,,Choose wedding planners - 2,Choose wedding planners II
,,,,,Have your fitting,Buy dress essentials,Buy formalwear extras,Have your hair trial.,Buy dress accessories.,,,,,,,,,,,,,,Decide on a budget.,Decide on a budget
"Say ""I Do""",On Wedding Day,"It is the moment to say ""I Do""s and exchange wedding bands.","14,17,20,75,57,58,28,69,59,60,76",s05_say_i_do.jpg,Book ceremony site,Finalize ceremony vows.,DIY projects,Buy bridesmaid dresses.,Save flower photos.,Book florist,Buy program cards ,Save decor photos,,,,,,,,,,,Decide on wedding colors/theme,Decide on wedding colors/theme
,,,,,Book ceremony musicians.,,Book your officiant.,Buy wedding rings,Finish ceremony programs.,Confirm shotlist,Work on escort cards,,,,,,,,,,,,Pick the date & city - 2,Pick the date & city II
Celebrate Together,On Wedding Day,"Toasts, dances, entertainments and cake cutting...Yes, the party begins!","15,16,18,46,51,61,62,65,68,70,71,72,73,74",s06_celebrate_together.jpg,Take dance lessons,Book reception venue,Buy wedding favors.,Order rentals and lighting.,Book your caterer,Save cake photos.,Book your cake baker.,Prepare toasts,Choose cakes,,,,,,,,,,Get marriage license,Get marriage license
"Say ""Thank You""",After Wedding Day,Extend the happiest moments with friends and loved ones.,"11,52,13",s07_say_thank_you.jpg,Confirm final payments.,Finish thank-you notes.,Share your wedding,Book wedding night hotel room.,,,,,,,,,,,,,,,Confirm final payments,Confirm final payments
"Hello, Honeymoon",After Wedding Day,Unwind and enjoy your newlywed status.,77,s08_hello_honeymoon.jpg,Decide on a honeymoon location.,,,,,,,,,,,,,,,,,,Make a day-of timeline & delegation,Make a day-of timeline & delegation
,,,,,,,,,,,,,,,,,,,,,,,Share your wedding,Share your wedding
