Category,Title (required),Date (required),,Tutorial (How-to),"Resource (title1|url1,title2|url2,title3|url3...)",Related tasks (row number separated by comma),Image,Image file name,Required or not,Expected Prep Time (hour)
Get Started,Pick the date & city,1/1/2015,"It's best to have a preferred date with some alternates. Doing so will give you a general idea as you decide budget, search for venues and sending save-the-date. Destination or local? Fall or spring? ","1. Take weather, seasoning, budget into account
2. Give yourself plenty of time to plan your dream wedding and don't rush it!
3. Come up with a preferred date and a few alternates",How To Choose A Wedding Date In 7 Steps - Huffington Post|http://www.huffingtonpost.com/2014/02/10/wedding-date-planning-_n_4746723.html,"7,9,10,16,17,41,42,54",http://i.huffpost.com/gen/1609387/thumbs/o-BG3-570.jpg?6,,Required,16
Get Started,Decide on a budget,1/1/2015,It helps you to establish the amount of money that you'll have available and to set priorities accordingly. Talk about who will pay for what with your partner and families. ,"1. Figure out who's paying for the wedding
2. Estimate guest headcount
3. Get aware of a sample budget breakdown: 
     - Reception (Food, Rentals, and Site) 40% 
     - Flowers 5-10%
     - Photography/Videography 15% 
     - Attire, Beauty & Ring 10%
     - Entertainment 5%
     - Planner / Coordinator 10%
     - Miscellaneous (Invitations, Officiant, Favors, Etc.) 15%","Wedding Budget Calculator - Jenn Lane Design|http://jennlanedesign.com/wedding-budget-calculator.php,Wedding Timeline and Budget - Brides|http://www.brides.com/wedding-answers-tools/wedding-timeline-budget","3,16,17,24,25,26",http://thepeachpost.files.wordpress.com/2013/01/budget.jpg,,Required,6
Get Started,Choose wedding planners,1/1/2015,"It's not required but consider hiring one if you: have a busy job, or like the idea of a third person (expert) opinion. ","1. Research to find 5 finalists to schedule a talk by phone or in-person
2. Interview them with the questions:
    - How do you communicate with clients?
    - How many clients do you have in a year, and in my wedding month?
    - Do you work alone or with a team?
    - What additional fees do I need to know about?","Wedding Planning: 6 Crucial Questions To Ask A Wedding Planner
 - Huffington Post|http://www.huffingtonpost.com/2012/06/14/wedding-planning_n_1597953.html","6,25,26,49,64,68",http://www.jukeboxxmedia.com/wp-content/uploads/2012/07/wedding-timeline.jpg,hire_wedding_planner.jpg,Optional,20
Get Started,Choose wedding party,2/1/2015,It is a chance to round up your very favorite people to surround you on the Big Day! They also provide you with assistance and emotional support during the planning!,"1. Wait to ask until you've set your general wedding date. Adding bridesmaids is a lot more fun than demoting them
2. Redefine the roles and number
3. Ask other friends and relatives to act as candlelighters, ushers, etc",6 DOs and DON'Ts That Will (Hopefully!) Make Choosing Your Wedding Party a Little Less Painful - Glamour|http://www.glamour.com/weddings/blogs/save-the-date/2012/02/6-dos-and-donts-that-will-hope,"14,18,77,78,79,81,82,83",http://lh4.ggpht.com/N5s-LfgiP-C4HXHRcOK1Ip4xOflxC_p0VjULaaQNpbtCmKFg_TO3ILimWUey7wqU8DZRBbSBmguuYuffqWSnDNA=s0,,Required,6
Get Started,Decide on colors/theme,2/1/2015,"It sets the tone of your wedding - will affect a host of planning decisions, i.e. venues, invitations, attire and even floral decor.","1.Discuss your favorite shade and bloom with your wedding party or planner
2.Consider the setting. Look at the colors used in your venue’s carpeting, drapery and decorations
3.Be prepared to have two different color themes if your ceremony and reception venue are very different
","Color Palette|http://paletton.com,Fotavo|http://www.fotavo.com/homepage,TheKnot|http://wedding.theknot.com/wedding-themes.aspx,What’s your wedding style? - magnetStreet|http://www.magnetstreet.com/wedding-style-quiz","16,17,24,25,59",http://lh5.ggpht.com/7Z69ltA5Vear9d2SFNeBpcn1rrkZsoDmrvg9pr-OZpOVydP5cFuEDngKOlXiFfHPheEBqHoDpCvIp6XiJWKROQ=s0,,Required,16
Get Started,Book officiant,4/1/2015,The officiant verifies the legality of the marriage by examining state issued licenses and makes sure all of the appropriate documentation to perform your wedding.,"1. Choose your ceremony style and watch candidates perform ones
2. Ask fees, availability for rehearsal and wedding day
3. Ask for the sermon or an overview
4. Ask any restriction, i.e. music, attire,etc
5. Confirm payment schedule and sign contract",Finding a Wedding Officiant - About Style|http://weddings.about.com/od/gettingstarted/a/findofficiant.htm,"17,48,77",http://lh5.ggpht.com/GM2Sri5XixHhOwVLfnQ0LHVhNIIeDRjbvX8hr2WqsSyXCy0RDYONV5rXvlr1-SmSLupDu4TQ1L4SzR8TAV0nSg=s0,,Required,8
Venue,Book ceremony site,2/1/2015,"It's the place you say ""I do"". ","1. Browse and schedule appointments with sites and/or officiants
2. Ask if the site has an coordinator and any restriction, i.e. seating space, microphone
3. Confirm payment schedule and sign contract",Find Your Perfect Wedding Ceremony Location - Bridal Guide|http://www.bridalguide.com/planning/wedding-ceremony-traditions/wedding-ceremony-site-selection,"7,9,17",http://lh6.ggpht.com/tSCztm3khwl9IjlGOv8l-KpfxfJiJHeMdTpxkgIsBc2eMJMzXnviDE0U37PFtG37S3w9DyryY0ZU6iWud1i0NYU=s0,book_ceremony_site.jpg,Required,30
Venue,Book reception venue,2/1/2015,The party begins. Invite your families and friends to celebrate your day together. ,"1. Browse and schedule appointments with sites
2. Check the site coordinator's responsibilities and restriction
3. Book wedding night hotel rooms if needed",To Consider Before Booking Your Wedding Venue - Huffington Post|http://www.huffingtonpost.com/maggie-lord/things-to-consider-before_b_2951830.html,"7,9,16,17,44",http://lh3.ggpht.com/_OBSlOLSuYoKnKGB2_82GXdSx2BPY1LoNcq9ozkjKJL0fJJEZ49Q5lQVq1Ozkj0zmLiLYgcnwToutTPArJJv7g=s0,book_reception_venue.jpg,Required,15
Guest,Make guest list,2/1/2015,"It's the time to balance everyone's guest wishlist. Any change of the list will affect your budget, seating and even venues. ","1. Decide on the total guest count
2. Establish priority with families and create rules to make a cut, i.e. kids, out-of-town
3. Assume 15% of your invited guests will not be able to attend","Tips for Making Your Guest List - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-guests/articles/how-to-make-your-wedding-guest-list.aspx,Creating a Wedding Guest List – The First Steps - About Style|http://weddings.about.com/od/getorganized/a/StartGuestList.htm","8,39,41,42,47,50",http://lh4.ggpht.com/dPGh__-Oc8i7NWUQJw3swQAODBXWSo9fooK_BXnUlvuhTLW-eNve4QHnUWPS8fY4XgByBnVW8flgi_1YCnxzD1E=s0,make_guest_list.jpg,Required,6
Guest,Start a wedding website,3/1/2015,Keep your guests updated. Start by adding the story of how you met and got engaged. Guests can check the other essential info like venue details and hotels later.,"1. Introduce love story, wedding party, details, registry
",Create a Free Wedding Website to Share With Family and Friends - TheKnot|http://uw.theknot.com/admin/choosedesign/,"16,17,37",,start_a_wedding_website.jpg,Optional,4
