Category,Title,Date,Description,Tutorial,Resource,Related tasks,Image,Image file name,Required,Workload
GetStarted,Pick the date & city,11/1/2014,The first question everyone will ask you when they hear you're engaged is where and when is the wedding. So talk it out: destination wedding or someplace local? Fall or spring?,"1. Take weather, seasoning, budget into account
2. Focus on what you want your wedding day to be and how to portray that in a date
3. Give yourself plenty of time to plan your dream wedding and don't rush it!
4. Come up with a preferred date and a few alternates",How To Choose A Wedding Date In 7 Steps - Huffington Post|http://www.huffingtonpost.com/2014/02/10/wedding-date-planning-_n_4746723.html,,http://i.huffpost.com/gen/1609387/thumbs/o-BG3-570.jpg?6,,Required,0
GetStarted,Decide on a budget,11/1/2014,"Talk about who will pay for what. You might cover the entire thing or maybe your families will each commit a dollar amount. Just whatever you do, don't spend one dollar until you have a budget.","1. Figure out who's paying for the wedding
2. Estimate guest headcount
3. Get aware of a sample budget breakdown: 
     - Reception (Food, Beverages, Rentals, and Site) 40% 
     - Flowers 5-10%
     - Photography/Videography 15% 
     - Bride's and Groom's attire & beauty10%
     - Music 5%
     - Planner or Coordinator 10-15%
     - Miscellaneous (Invitations, Officiant Fees, Favors, Etc.) 10%
     - Cushion 5%","Wedding Budget Calculator - Jenn Lane Design|http://jennlanedesign.com/wedding-budget-calculator.php,Wedding Timeline and Budget - Brides|http://www.brides.com/wedding-answers-tools/wedding-timeline-budget",,http://thepeachpost.files.wordpress.com/2013/01/budget.jpg,,Required,0
GetStarted,Choose wedding party,11/1/2014,Choosing your wedding party is a chance to round up your very favorite people to surround you on the Big Day!,"1. Wait to ask until you've set your general wedding date (preferred and some alternatives). Adding bridesmaids is a lot more fun than demoting them.
2. Have ""bridesmen"" and ""groomsgirls"", if you'd like to give your bro an important role.
3. Redefine the roles and number.  If you want to have 2 ""maids"" or 3 ""matrons"" or no one ""of honor,"" do what works for you
4. Ask other friends and relatives to act as candlelighters, ushers, etc",6 DOs and DON'Ts That Will (Hopefully!) Make Choosing Your Wedding Party a Little Less Painful - Glamour|http://www.glamour.com/weddings/blogs/save-the-date/2012/02/6-dos-and-donts-that-will-hope,,http://lh4.ggpht.com/N5s-LfgiP-C4HXHRcOK1Ip4xOflxC_p0VjULaaQNpbtCmKFg_TO3ILimWUey7wqU8DZRBbSBmguuYuffqWSnDNA=s0,,Required,0
GetStarted,Decide on colors/theme,11/1/2014,Romantic wedding? Think pastels and neutrals. A high-energy party? Go bold for the Day!,"1.Discuss your favorite shade and bloom with your wedding party and planner (if you have). 
2.Consider the setting. Look at the colors used in your venue’s carpeting, drapery and decorations. Keep open-minded about colors until you've chosen the venues.
3.Be prepared to have two different color themes if your ceremony and reception venue are very different in tone. 
","Color Palette|http://paletton.com,Fotavo|http://www.fotavo.com/homepage,TheKnot|http://wedding.theknot.com/wedding-themes.aspx,What’s your wedding style? - magnetStreet|http://www.magnetstreet.com/wedding-style-quiz",,http://lh5.ggpht.com/7Z69ltA5Vear9d2SFNeBpcn1rrkZsoDmrvg9pr-OZpOVydP5cFuEDngKOlXiFfHPheEBqHoDpCvIp6XiJWKROQ=s0,,Required,0
GetStarted,Choose wedding planners,11/1/2014,"It's not required but consider hiring one if you: want a destination wedding, have a busy job, or like the idea of a third person (expert) opinion. ","1. Ask friends if they can recommend some 
2. Research online to find 5 finalists to schedule a talk by phone or in-person
3. Interview them with the questions:
    - How do you communicate with clients?
    - How many clients do you have in a year, and in my wedding month?
    - Do you work alone or with a team?
    - What additional fees do I need to know about?","Wedding Planning: 6 Crucial Questions To Ask A Wedding Planner
 - Huffington Post|http://www.huffingtonpost.com/2012/06/14/wedding-planning_n_1597953.html",,,hire_wedding_planner.jpg,Optional,0
GetStarted,Book officiant,12/1/2014,"If it's a nondenominational person, there will probably be a contract and a deposit involved. This is also the time to start scheduling any premarital counseling sessions (if you're doing them).","1. If you and your fiance(e) belong to the same church or synagogue, you're in luck! 
2. Choose the type of wedding ceremony you want
3. Ask availability for rehearsal and wedding day
4. Ask services and fees, and watch them perform ceremonies to see if it's what you want
5. Ask for the sermon or an overview
6. Ask any restriction, i.e. music, attire,etc
7. Confirm payment schedule and sign the contract",Finding a Wedding Officiant - About Style|http://weddings.about.com/od/gettingstarted/a/findofficiant.htm,,http://lh5.ggpht.com/GM2Sri5XixHhOwVLfnQ0LHVhNIIeDRjbvX8hr2WqsSyXCy0RDYONV5rXvlr1-SmSLupDu4TQ1L4SzR8TAV0nSg=s0,,Required,0
Venue,Book ceremony site,11/1/2014,"If you belong to a house of worship, ask about open dates and pricing. If that’s not the case, then start your search right here. Find a few places you like, and then schedule time to take a tour.","1. Browse ideas
2. Discuss, negotiate, and decide on a place where both of you will love
3. Schedule appointments with sites and/or officiant
4. Check space of seated and standing
5. Ask if the site has any restriction, i.e. will the officiant need a microphone, outside musicians",Find Your Perfect Wedding Ceremony Location - Bridal Guide|http://www.bridalguide.com/planning/wedding-ceremony-traditions/wedding-ceremony-site-selection,,,book_ceremony_site.jpg,Required,0
Venue,Book reception venue,11/1/2014,"Start your search online -- look at photos and read reviews. Then, narrow it down to a handful of your favorites and call to set up site tours. When you're there, ask lots of questions.","1. Browse ideas
2. Discuss, negotiate, and check the site coordinator's responsibilities
3. Schedule appointments with sites
Book wedding night hotel room",To Consider Before Booking Your Wedding Venue - Huffington Post|http://www.huffingtonpost.com/maggie-lord/things-to-consider-before_b_2951830.html,,,book_reception_venue.jpg,Required,0
Guest,Make guest list,11/1/2014,"Start with immediate family and friends, then move on to the rest of the invitees in order of importance. ","1. Decide on the guest count and divide it in half to both families
2. Establish priority with families
3. Create rules to make a cut
4. Determine whether children are invited
5. Assume 20% of your invited guests will not be able to attend","Tips for Making Your Guest List - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-guests/articles/how-to-make-your-wedding-guest-list.aspx,Creating a Wedding Guest List – The First Steps - About Style|http://weddings.about.com/od/getorganized/a/StartGuestList.htm",,,make_guest_list.jpg,Required,0
Guest,Order invitations,11/1/2014,Make your final design picks and order those invitations. You’ll finalize the wording at this time too. Also think about how you want to address them (calligraphy?) and don’t forget the stamps!,"1. Confirm themes and designs with your stationery designer if needed
2. Confirm the delivery time 
3. Order extra 10 pieces
4. Order stamps if you want to mail them","How to Address the Envelopes - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-invitations/articles/addressing-wedding-invitations.aspx,Assembling Wedding Invitations: Wedding Invitation Etiquette - DAWN|http://www.invitationsbydawn.com/custserv_content.jsp?pageName=Assembling-Wedding-Invitations",,http://media-cache-ec0.pinimg.com/736x/c1/0b/12/c10b120d0ed218fd6a99c60d22cca74f.jpg,,Required,0
Guest,Send invitations,12/1/2014,"Get them out by the three-month mark. If you don't want the post office to add a giant stamp across the front of the envelope, you can ask to have them hand-canceled.","1. Take a completely assembled invitations
2. Buy stamps for invitation and response envelopes",Wedding Invitation Q&As - Bridal Guide|http://www.bridalguide.com/etiquette/etiquette-qas/wedding-invitation-etiquette,,http://media-cache-ec0.pinimg.com/736x/c1/0b/12/c10b120d0ed218fd6a99c60d22cca74f.jpg,,Required,0
Guest,Start a wedding website,12/1/2014,You don't have to be a genius to make one. It's free and super simple. Start by adding the story of how you met and got engaged. The other essential info like venue details and hotels can come later.,"1. Love story to share how you met and fell in love
2. Introduce wedding party
3. Wedding details: Where and when you'll wed
4. Gift guidance: The shops and sites you've registered at
5. Schedule a date for publish
",Create a Free Wedding Website to Share With Family and Friends - TheKnot|http://uw.theknot.com/admin/choosedesign/,,,start_a_wedding_website.jpg,Optional,0
Guest,Register for gifts,12/1/2014,You don't have to finish your registry list all in one day. Take your time but start now. And make sure you add all your registry links to your wedding website so guests know where you’re registered!,"1. Asses what you already have, and separate what you need from what you want
2. Decide how much you want to register for
3. Select items from stores and websites
4. Share your registion with invitees","10 Gifts That Should Be On Your Wedding Registry - How Stuff Works|http://lifestyle.howstuffworks.com/weddings/family-gifts/wedding-registry-wedding-gifts/10-gifts-for-wedding-registry.htm,Top 24 Places to Register - Brides|http://www.brides.com/home-wedding-registry/registry-ideas-answers/2011/02/wedding-gift-registries-the-best-places-to-register,10 Tips on Registering for Wedding Gifts - TheKnot|http://wedding.theknot.com/online-wedding-registry/bridal-registry-tips/articles/10-tips-on-registering-for-wedding-gifts.aspx",,,register_for_gift.jpg,Optional,0
Guest,Block out hotel rooms,12/1/2014,"You might want to start with fewer rooms and then add more if needed (some hotels require you to pay for rooms that go un-booked). Also, don’t forget to add hotel contact info to your wedding website!","1. Estimate your rooms and ask hotels if the number makes sense
2. Make sure the payment policy before you block the rooms
3. Check the details of check-in, check-out time, transportation schedule if needed","Questions To Ask When Blocking Hotel Rooms For Your Wedding Guests - GroupTravel|http://grouptravel.org/wedding/questions-to-ask-when-blocking-hotel-rooms-for-your-wedding-guests/,Need a Hotel For Wedding Guests? - GroupTravel|http://grouptravel.org/need-a-hotel-for-wedding-guests/",,,,Optional,0
Guest,Plan transportation,1/1/2015,"A vintage car? A horse-drawn carriage, or a bicycle built for two? Make excitement and convenience.","1. Arrange date, time, and locations of pickup and drop-off points
2. Select type and number of vehicles rented
3. Book shuttle services / arrange cars to take out-of-town guests
4. Confirm total cost including gas and mileage, deposit, overtime fee and refund policies
5. Schedule payment and sign contract
6. Provide drivers with directions, addresses and contacts",10 Basic Wedding Transportation Tips - TheKnot|http://wedding.theknot.com/wedding-planning/wedding-transportation/articles/wedding-transportation-planning-basics.aspx,,,plan_transportation.png,Required,0
Guest,Buy a guest book,1/1/2015,"You could go the traditional route and get a blank book or you could get really unique here. Look through our gallery of ideas and get the supplies you need to make it, or DIY it.",1. Purchase guest book and pens,Fotavo Wedding Guest Book - Pinterest|http://www.pinterest.com/fotavo/wedding-guest-book/,,,buy_a_guest_book.jpg,Required,0
Guest,Buy wedding favors,1/1/2015,"If you’re making them, start working on them. This is also the time to order any packaging supplies.","1. Purchase/DIY favors
2. Compose message attached to favor",Fotavo Wedding Favors - Pinterest|http://www.pinterest.com/fotavo/wedding-favors/,,,buy_wedding_favors.jpg,Required,0
