Title (required),Name 1,Location 1,price range 1 (optional),profile picture 1,sample picture 1,Website1,Name 2,Location 2,price range 2 (optional),profile picture 2,sample picture 2,Website2,Name 3,Location 3,price range 3 (optional),profile picture 3,sample picture 3,Website3
Pick the date & city,Hang zhao,"Palo Alto, CA","$1,500 to $3,000",http://blabal.jpg,http://blabal.jpg,,,,,,,,,,,,,
Create an email folder,,,,,,,,,,,,,,,,,,
Decide on a budget,,,,,,,,,,,,,,,,,,
Choose wedding planners,Weddings By My-Dung,"San Jose, CA",,https://scontent-b-sin.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1014070_736021613098879_1079666963_n.jpg?oh=bae44ceec43be3a7b716812dca4552a4&oe=54B0C2E1,https://scontent-b-sin.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/p417x417/1604712_736021603098880_37135975_n.jpg?oh=b2fcc309ed49bdb00fedeee2c162c0ad&oe=54ED3B48,,LovePlus Studio,"Fremont, CA","$2,800 to $6,800",http://lh3.ggpht.com/cl3332VkVTtSBZ4zSTaqBVAuUBYb-YGbRC_UDau_H6xyyrMTE4f-5P5wIAX4T8oSNfBgxdysVvgBbD83HSEItVw=s0,http://lh6.ggpht.com/NfIgriUwoBHiTps8tJ3zuzcH2tSvXGpIGjati9gONuR6zP_4drP89HUesZIQo-O-A1eYMcx6uZQnjXF9WbaROGmb=s0,,Simply Perfect,"Mountain View, CA",,http://pamelagoodman.com/2012_06_08_sophie_kathy_3810_crop_web.jpg,http://lh3.ggpht.com/U4f2L5vsQjXt8RIdfffPr0dLaxGyPQRbtmjcNJpY4h3-WHCkSigU481oIUYzlKvFyETzljrUNw6K2hNwH_zQxVBN=s0,
Choose wedding party,,,,,,,,,,,,,,,,,,
Decide on colors/theme,,,,,,,,,,,,,,,,,,
Book officiant,,,,http://dankennedyweddings.com/images/33885117_e4ei_g2ss_ynh7.png,http://s3-media1.fl.yelpcdn.com/bphoto/IqW0vsgvWXn_4GF1M60whQ/l.jpg,,Maggie,"San Francisco, CA",$725,http://ministermaggie.com/wordpress/wp-content/uploads/2013/01/home_maggie.jpg,http://ministermaggie.com/wordpress/wp-content/tn3/0/g_jacqui-and-aaron.jpg,,Irv,"San Francisco, CA",,http://www.sfcelebrant.com/About_Irv_files/PhotoNicolo_070611_IMG_7808.jpg,http://www.sfcelebrant.com/Venues_files/167033_169629603080246_168925256484014_364180_4644422_n.jpg,
Plan bachelor(ette) parties,,,,,,,,,,,,,,,,,,
Plan rehearsal dinner,,,,,,,,,,,,,,,,,,
Prepare toasts,,,,,,,,,,,,,,,,,,
Get marriage license,,,,,,,,,,,,,,,,,,
Confirm final payments,,,,,,,,,,,,,,,,,,
Finalize ceremony,,,,,,,,,,,,,,,,,,
Make a day-of timeline & delegation,,,,,,,,,,,,,,,,,,
Share your wedding,,,,,,,,,,,,,,,,,,
Have your rehearsal,,,,,,,,,,,,,,,,,,
Have bachelor(ette) parties,,,,,,,,,,,,,,,,,,
Book ceremony site,,,,,,,,,,,,,,,,,,
Book reception venue,,,,,,,,,,,,,,,,,,
Book wedding night hotel room,,,,,,,,,,,,,,,,,,
Insure your ring,,,,,,,,,,,,,,,,,,
Try on wedding dresses,,,,,,,,,,,,,,,,,,
Buy your dresses,,,,,,,,,,,,,,,,,,
Buy bridesmaid dresses,,,,,,,,,,,,,,,,,,
Buy or rent men's attire,,,,,,,,,,,,,,,,,,
Book beauty stylists,,,,,,,,,,,,,,,,,,
Buy wedding rings,,,,,,,,,,,,,,,,,,
Have your fitting,,,,,,,,,,,,,,,,,,
Buy men's attire extras,,,,,,,,,,,,,,,,,,
Have hair trial,,,,,,,,,,,,,,,,,,
Buy dress accessories,,,,,,,,,,,,,,,,,,
Make guest list,,,,,,,,,,,,,,,,,,
Start a wedding website,,,,,,,,,,,,,,,,,,
Register for gifts,,,,,,,,,,,,,,,,,,
Block out hotel rooms,,,,,,,,,,,,,,,,,,
Book stationery designers,,,,,,,,,,,,,,,,,,
Order your invitations,,,,,,,,,,,,,,,,,,
Order save-the-dates,,,,,,,,,,,,,,,,,,
Send save-the-dates,,,,,,,,,,,,,,,,,,
Mail invitation,,,,,,,,,,,,,,,,,,
Plan transportation,,,,,,,,,,,,,,,,,,
Buy a guest book,,,,,,,,,,,,,,,,,,
Buy wedding favors,,,,,,,,,,,,,,,,,,
Buy programs,,,,,,,,,,,,,,,,,,
Buy wedding party gifts,,,,,,,,,,,,,,,,,,
Work on seating,,,,,,,,,,,,,,,,,,
DIY escort cards,,,,,,,,,,,,,,,,,,
Finish thank-you notes,,,,,,,,,,,,,,,,,,
Book photographers,,,,,,,,,,,,,,,,,,
Take engagement photos,,,,,,,,,,,,,,,,,,
Book videographers,,,,,,,,,,,,,,,,,,
Confirm shotlist,,,,,,,,,,,,,,,,,,
Book florist ,,,,,,,,,,,,,,,,,,
DIY projects,,,,,,,,,,,,,,,,,,
Order rentals & lighting,,,,,,,,,,,,,,,,,,
Book caterer,,,,,,,,,,,,,,,,,,
Book DJ / band,,,,,,,,,,,,,,,,,,
Book ceremony musicians,,,,,,,,,,,,,,,,,,
Book cake baker,,,,,,,,,,,,,,,,,,
Take dance lessons,,,,,,,,,,,,,,,,,,
Choose cakes,,,,,,,,,,,,,,,,,,
Decide on a honeymoon location,,,,,,,,,,,,,,,,,,
